GenderSelect,Country,Age,CurrentJobTitleSelect,Tenure,WorkToolsSelect,LanguageRecommendationSelect,CompensationAmount
Female,United States,23,Data Analyst,1 to 2 years,"R,SQL,Tableau",Python,68000.0
Male,United States,56,Researcher,1 to 2 years,"MATLAB/Octave,Python,TensorFlow",Python,142000.0
Male,United States,28,DBA/Database Engineer,3 to 5 years,"Python,R",Python,100000.0
Male,Other,34,Scientist/Researcher,6 to 10 years,Other,Java,1700.0
Male,India,37,Other,Less than a year,"Amazon Web services,Python,R",R,2600000.0
Male,Germany,43,Other,6 to 10 years,"Jupyter notebooks,Python,R,SQL",Python,106000.0
Female,United States,24,Data Analyst,1 to 2 years,"Jupyter notebooks,Python,SQL",Python,94000.0
Male,Colombia,25,Data Analyst,1 to 2 years,"Python,R",R,24000000.0
Male,Czech Republic,28,Data Analyst,Less than a year,Python,Python,360000.0
Male,Switzerland,51,Data Scientist,More than 10 years,"R,SAS Base,SQL",Python,170000.0
Female,Russia,22,Machine Learning Engineer,1 to 2 years,"Jupyter notebooks,Python,SQL",Python,1300000.0
Female,United States,26,Scientist/Researcher,1 to 2 years,R,Python,20000.0
Male,United States,36,Scientist/Researcher,More than 10 years,"Amazon Web services,Python,R",R,100000.0
Male,United States,22,Data Analyst,1 to 2 years,"R,SQL,Tableau",R,65000.0
Male,United States,34,Machine Learning Engineer,More than 10 years,"Python,TensorFlow",Python,400000.0
Male,India,21,Programmer,Less than a year,R,R,0.0
Male,India,27,Programmer,Less than a year,"Jupyter notebooks,Python,TensorFlow",Python,300000.0
Male,United States,30,Predictive Modeler,6 to 10 years,R,Python,200000.0
Male,United States,26,Data Analyst,3 to 5 years,"R,SQL",R,60000.0
Female,Netherlands,26,Data Scientist,Less than a year,"Jupyter notebooks,Python,R,SQL",R,35000.0
Male,Canada,28,Scientist/Researcher,3 to 5 years,R,R,35000.0
Male,United States,25,Data Scientist,6 to 10 years,Python,Python,50000.0
Male,People 's Republic of China,25,Software Developer/Software Engineer,Less than a year,Python,Java,200000.0
Male,Other,33,Scientist/Researcher,1 to 2 years,"Python,R",R,720000.0
Female,People 's Republic of China,45,Researcher,1 to 2 years,Python,Python,1200.0
Male,Brazil,27,Scientist/Researcher,3 to 5 years,"C/C++,MATLAB/Octave",Matlab,20000.0
Male,Australia,27,Data Analyst,3 to 5 years,"Jupyter notebooks,Python,R",Python,80000.0
Male,India,25,Software Developer/Software Engineer,I don't write code to analyze data,SQL,Python,550000.0
Male,Canada,27,Data Analyst,3 to 5 years,"Python,R,SQL",R,71000.0
Male,Taiwan,42,Data Analyst,1 to 2 years,Python,R,48000.0
Male,Indonesia,24,Data Analyst,3 to 5 years,"R,Tableau",Python,68000000.0
Male,People 's Republic of China,24,Machine Learning Engineer,1 to 2 years,Python,Python,0.0
Male,Mexico,24,Data Scientist,1 to 2 years,"Python,R,SQL",R,180000.0
Male,India,39,Researcher,3 to 5 years,Python,Python,46000.0
Male,India,29,Software Developer/Software Engineer,3 to 5 years,SQL,Python,664000.0
Female,Hong Kong,22,Machine Learning Engineer,1 to 2 years,"C/C++,Python,R",Python,8000.0
Male,Australia,29,Data Scientist,3 to 5 years,R,R,70000.0
Female,United States,33,Data Analyst,Less than a year,"Python,R,SQL",Python,51000.0
Male,Singapore,26,Researcher,1 to 2 years,"Jupyter notebooks,Python,R,SQL,Tableau",Python,0.0
Male,People 's Republic of China,21,Engineer,1 to 2 years,"C/C++,Python",C/C++/C#,320000.0
Male,India,28,Software Developer/Software Engineer,1 to 2 years,"MATLAB/Octave,Python",Python,75000.0
Male,India,29,Statistician,3 to 5 years,R,R,90000.0
Male,South Africa,52,Data Scientist,1 to 2 years,R,R,370000.0
Male,Hong Kong,22,Other,3 to 5 years,"R,SQL",Python,300000.0
Male,United States,50,Scientist/Researcher,1 to 2 years,"Python,R",Python,82000.0
Female,United States,27,Data Analyst,Less than a year,"Python,R",R,70000.0
Male,Belgium,51,Other,1 to 2 years,"Jupyter notebooks,Python",Python,7000.0
Male,Other,22,Data Scientist,1 to 2 years,"Python,TensorFlow",Python,60000000.0
Male,India,31,Data Miner,6 to 10 years,"Python,R",R,40000.0
Male,India,25,Data Analyst,1 to 2 years,R,R,355000.0
Male,India,23,Data Scientist,Less than a year,Python,Python,2000000.0
Male,United States,28,Machine Learning Engineer,1 to 2 years,"Jupyter notebooks,Python,TensorFlow",Python,0.0
Male,United States,32,Scientist/Researcher,6 to 10 years,MATLAB/Octave,Python,115000.0
Female,India,27,Other,Less than a year,R,SAS,250000.0
Male,India,24,Machine Learning Engineer,1 to 2 years,"Jupyter notebooks,Python,TensorFlow",Python,900000.0
Male,India,24,Data Scientist,1 to 2 years,"Python,R",Python,600000.0
Male,United States,26,Data Analyst,3 to 5 years,"Jupyter notebooks,Python,SQL",Python,100000.0
Male,Israel,34,Data Scientist,3 to 5 years,Python,Python,225000.0
Male,Pakistan,23,Software Developer/Software Engineer,Less than a year,R,R,700000.0
Male,Norway,46,Programmer,Less than a year,"Jupyter notebooks,Python",Python,800000.0
Male,United States,34,Software Developer/Software Engineer,More than 10 years,"Jupyter notebooks,Python,SQL",Python,90000.0
Male,France,26,Scientist/Researcher,1 to 2 years,"Python,TensorFlow",Python,35000.0
Male,Netherlands,33,Researcher,6 to 10 years,"C/C++,MATLAB/Octave",Matlab,45000.0
Female,Pakistan,25,Computer Scientist,Less than a year,"Python,TensorFlow",Python,45000.0
Male,Spain,25,Data Analyst,Less than a year,"Jupyter notebooks,Python,R",Python,19000.0
Female,Russia,24,Business Analyst,1 to 2 years,"Jupyter notebooks,Python,SQL",Python,52000.0
Male,Russia,36,Other,1 to 2 years,"Python,R,SQL",R,36000.0
Male,India,37,Data Scientist,More than 10 years,"Jupyter notebooks,Python,TensorFlow",Python,2000000.0
Male,People 's Republic of China,28,Machine Learning Engineer,3 to 5 years,Python,Python,70000.0
Female,Israel,27,Scientist/Researcher,1 to 2 years,"MATLAB/Octave,Python",Python,70000.0
Male,United Kingdom,30,Engineer,3 to 5 years,Python,Python,65000.0
Male,Russia,34,Machine Learning Engineer,1 to 2 years,"Python,TensorFlow",Python,1500000.0
Male,Russia,45,Data Analyst,1 to 2 years,"Jupyter notebooks,Python",Python,30000.0
Male,Australia,33,Data Analyst,1 to 2 years,"R,SAS Base,SQL",SAS,90000.0
Male,Turkey,26,Software Developer/Software Engineer,Less than a year,"Python,SQL",Python,54000.0
Male,France,39,Other,6 to 10 years,"Python,SQL",Python,110000.0
Male,United Kingdom,44,Data Scientist,Less than a year,"Python,R",Python,35000.0
Male,India,37,Business Analyst,1 to 2 years,R,R,2110000.0
Male,Russia,23,Computer Scientist,1 to 2 years,"Python,R,SQL",Python,256.0
Male,Kenya,34,Scientist/Researcher,6 to 10 years,"Python,TensorFlow",Python,1800000.0
Male,Finland,35,Other,1 to 2 years,"Python,R,SQL",R,50000.0
